"WALTITUD","LONG_DECI","LAT_DECI","titulo"
2237,-78.904868,-6.667497,"PAPA BLANCA"
2429,-78.531564,-7.336463,"PAPA BLANCA"
2281,-78.896129,-6.642664,"PAPA BLANCA"
2455,-73.333512,-15.261938,"PAPA BLANCA"
2026,-78.176062,-7.46615,"PAPA BLANCA"
2063,-78.143609,-7.516057,"PAPA BLANCA"
2457,-77.749357,-9.14131,"PAPA BLANCA"
2211,-73.102601,-13.467365,"PAPA BLANCA"
2466,-78.64511,-6.551775,"PAPA BLANCA"
2472,-77.960118,-6.176624,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2255,-77.815693,-9.003888,"PAPA BLANCA"
2381,-78.952988,-6.39609,"PAPA BLANCA"
2288,-74.748085,-11.81026,"PAPA BLANCA"
2119,-75.160927,-14.150382,"PAPA BLANCA"
2287,-79.924453,-4.927974,"PAPA BLANCA"
2467,-71.480212,-16.467387,"PAPA BLANCA"
2333,-79.534215,-5.645987,"PAPA BLANCA"
2407,-78.069293,-6.960637,"PAPA BLANCA"
2395,-76.072499,-9.859405,"PAPA BLANCA"
2461,-79.298408,-6.432577,"PAPA BLANCA"
2393,-78.110656,-7.594408,"PAPA BLANCA"
2161,-78.442181,-7.57091,"PAPA BLANCA"
2295,-78.88497,-7.032383,"PAPA BLANCA"
2142,-78.906754,-6.672978,"PAPA BLANCA"
2427,-72.996894,-13.453396,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2269,-79.714839,-4.988,"PAPA BLANCA"
2269,-79.714839,-4.988,"PAPA BLANCA"
2458,-77.749548,-9.143029,"PAPA BLANCA"
2462,-78.817074,-6.657682,"PAPA BLANCA"
2075,-78.908164,-6.491697,"PAPA BLANCA"
2102,-78.69842,-7.91769,"PAPA BLANCA"
2496,-78.53569,-7.255369,"PAPA BLANCA"
2245,-78.940904,-7.377614,"PAPA BLANCA"
2362,-78.780031,-6.617874,"PAPA BLANCA"
2012,-78.272321,-6.812638,"PAPA BLANCA"
2170,-78.899785,-6.680207,"PAPA BLANCA"
2407,-76.023104,-9.808335,"PAPA BLANCA"
2367,-78.8897,-6.679661,"PAPA BLANCA"
2418,-78.76454,-6.689459,"PAPA BLANCA"
2287,-78.230555,-6.538822,"PAPA BLANCA"
2114,-78.89732,-6.696035,"PAPA BLANCA"
2461,-76.147729,-10.118007,"PAPA BLANCA"
2046,-78.618211,-6.396432,"PAPA BLANCA"
2298,-78.78113,-6.66317,"PAPA BLANCA"
2226,-77.12943,-10.969187,"PAPA BLANCA"
2461,-79.298408,-6.432577,"PAPA BLANCA"
2387,-78.037278,-8.977405,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2297,-78.773021,-6.649798,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2473,-78.781227,-6.48167,"PAPA BLANCA"
2465,-78.937654,-6.732918,"PAPA BLANCA"
2381,-78.952988,-6.39609,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2024,-78.879124,-6.653323,"PAPA BLANCA"
2455,-79.580739,-5.15766,"PAPA BLANCA"
2232,-76.467217,-12.023615,"PAPA BLANCA"
2117,-79.550259,-5.708277,"PAPA BLANCA"
2254,-78.713091,-6.33653,"PAPA BLANCA"
2477,-78.62155,-6.465294,"PAPA BLANCA"
2430,-78.657619,-6.29122,"PAPA BLANCA"
2395,-78.24614,-6.816521,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2330,-74.283055,-12.986773,"PAPA BLANCA"
2436,-78.755703,-6.393637,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2493,-78.411253,-7.715022,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2379,-75.735847,-9.74436,"PAPA BLANCA"
2348,-78.751307,-6.36875,"PAPA BLANCA"
2388,-78.790277,-6.508933,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2453,-74.217012,-13.092637,"PAPA BLANCA"
2461,-76.147729,-10.118007,"PAPA BLANCA"
2281,-78.896129,-6.642664,"PAPA BLANCA"
2233,-79.545861,-5.681184,"PAPA BLANCA"
2278,-78.426972,-7.704842,"PAPA BLANCA"
2477,-78.62155,-6.465294,"PAPA BLANCA"
2457,-72.566304,-13.529997,"PAPA BLANCA"
2436,-77.846973,-7.60683,"PAPA BLANCA"
2384,-72.549065,-13.531634,"PAPA BLANCA"
2236,-78.432082,-7.725344,"PAPA BLANCA"
2150,-78.360331,-5.930817,"PAPA BLANCA"
2042,-78.176274,-7.44516,"PAPA BLANCA"
2298,-78.78113,-6.66317,"PAPA BLANCA"
2252,-72.599718,-15.840368,"PAPA BLANCA"
2348,-77.829111,-6.513113,"PAPA BLANCA"
2278,-78.896121,-6.345358,"PAPA BLANCA"
2110,-79.300016,-6.295723,"PAPA BLANCA"
2432,-78.499857,-6.383277,"PAPA BLANCA"
2359,-74.693948,-12.275685,"PAPA BLANCA"
2493,-78.411253,-7.715022,"PAPA BLANCA"
2427,-72.996894,-13.453396,"PAPA BLANCA"
2408,-78.768318,-6.674726,"PAPA BLANCA"
2429,-78.816753,-6.480753,"PAPA BLANCA"
2288,-74.748085,-11.81026,"PAPA BLANCA"
2281,-71.59283,-16.412119,"PAPA BLANCA"
2067,-78.793084,-6.645376,"PAPA BLANCA"
2298,-78.144746,-6.777729,"PAPA BLANCA"
2184,-77.538829,-8.269836,"PAPA BLANCA"
2183,-79.48131,-5.810809,"PAPA BLANCA"
2362,-78.780031,-6.617874,"PAPA BLANCA"
2259,-77.82053,-9.027656,"PAPA BLANCA"
2443,-78.689985,-6.414256,"PAPA BLANCA"
2348,-77.829111,-6.513113,"PAPA BLANCA"
2248,-78.862549,-7.022265,"PAPA BLANCA"
2349,-78.818011,-6.637416,"PAPA BLANCA"
2313,-78.011245,-9.277679,"PAPA BLANCA"
2287,-78.743553,-6.361524,"PAPA BLANCA"
2044,-77.811519,-5.835898,"PAPA BLANCA"
2487,-78.796291,-6.343438,"PAPA BLANCA"
2367,-78.8897,-6.679661,"PAPA BLANCA"
2405,-78.323063,-6.771907,"PAPA BLANCA"
2481,-78.087455,-7.471418,"PAPA BLANCA"
2388,-78.873084,-6.425972,"PAPA BLANCA"
2443,-77.967696,-9.309853,"PAPA BLANCA"
2255,-79.904995,-4.959092,"PAPA BLANCA"
2288,-74.748085,-11.81026,"PAPA BLANCA"
2144,-78.785183,-6.631721,"PAPA BLANCA"
2388,-78.873084,-6.425972,"PAPA BLANCA"
2362,-78.547911,-7.323282,"PAPA BLANCA"
2278,-78.426972,-7.704842,"PAPA BLANCA"
2008,-78.152391,-7.48189,"PAPA BLANCA"
2387,-78.037278,-8.977405,"PAPA BLANCA"
2020,-78.156214,-7.462736,"PAPA BLANCA"
2314,-78.873035,-6.645687,"PAPA BLANCA"
2156,-71.59834,-16.450697,"PAPA BLANCA"
2260,-78.417326,-6.504567,"PAPA BLANCA"
2465,-78.937654,-6.732918,"PAPA BLANCA"
2230,-78.950886,-6.406666,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2312,-79.339822,-5.589807,"PAPA BLANCA"
2352,-78.813113,-6.704067,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2415,-78.387104,-5.928162,"PAPA BLANCA"
2478,-78.795921,-6.465167,"PAPA BLANCA"
2429,-78.531564,-7.336463,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2481,-77.216602,-10.883451,"PAPA BLANCA"
2270,-77.849366,-8.969899,"PAPA BLANCA"
2084,-78.909429,-6.338996,"PAPA BLANCA"
2362,-78.780031,-6.617874,"PAPA BLANCA"
2178,-74.768363,-11.921542,"PAPA BLANCA"
2403,-73.816547,-13.120301,"PAPA BLANCA"
2020,-78.14741,-7.500267,"PAPA BLANCA"
2191,-77.460858,-7.905342,"PAPA BLANCA"
2223,-78.931277,-6.239233,"PAPA BLANCA"
2443,-77.967696,-9.309853,"PAPA BLANCA"
2287,-78.230555,-6.538822,"PAPA BLANCA"
2287,-78.230555,-6.538822,"PAPA BLANCA"
2296,-78.177005,-7.350283,"PAPA BLANCA"
2351,-77.947341,-6.920313,"PAPA BLANCA"
2314,-78.873035,-6.645687,"PAPA BLANCA"
2096,-78.98145,-6.463307,"PAPA BLANCA"
2105,-78.681203,-6.128702,"PAPA BLANCA"
2245,-78.940904,-7.377614,"PAPA BLANCA"
2438,-77.984236,-9.31001,"PAPA BLANCA"
2298,-78.144746,-6.777729,"PAPA BLANCA"
2137,-78.791576,-6.653895,"PAPA BLANCA"
2493,-78.411253,-7.715022,"PAPA BLANCA"
2367,-78.8897,-6.679661,"PAPA BLANCA"
2494,-78.779505,-6.556827,"PAPA BLANCA"
2430,-77.921722,-8.584979,"PAPA BLANCA"
2453,-74.217012,-13.092637,"PAPA BLANCA"
2197,-79.370991,-6.275589,"PAPA BLANCA"
2449,-77.891758,-6.482742,"PAPA BLANCA"
2287,-79.924453,-4.927974,"PAPA BLANCA"
2435,-77.754697,-9.130047,"PAPA BLANCA"
2401,-71.687343,-16.237364,"PAPA BLANCA"
2477,-78.62155,-6.465294,"PAPA BLANCA"
2015,-79.386674,-6.266119,"PAPA BLANCA"
2204,-78.942218,-6.426202,"PAPA BLANCA"
2230,-78.950886,-6.406666,"PAPA BLANCA"
2427,-79.294678,-6.346527,"PAPA BLANCA"
2288,-74.748085,-11.81026,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2481,-77.216602,-10.883451,"PAPA BLANCA"
2143,-78.79479,-6.612964,"PAPA BLANCA"
2489,-71.47662,-16.554627,"PAPA BLANCA"
2280,-78.812923,-6.648731,"PAPA BLANCA"
2362,-78.547911,-7.323282,"PAPA BLANCA"
2362,-78.144237,-7.348691,"PAPA BLANCA"
2246,-78.848963,-6.499238,"PAPA BLANCA"
2239,-78.006501,-5.468516,"PAPA BLANCA"
2173,-78.83305,-6.488291,"PAPA BLANCA"
2305,-77.987983,-7.052275,"PAPA BLANCA"
2465,-78.057251,-6.809211,"PAPA BLANCA"
2418,-76.191121,-9.902677,"PAPA BLANCA"
2283,-72.7742,-13.099657,"PAPA BLANCA"
2491,-78.584317,-6.40115,"PAPA BLANCA"
2388,-78.790277,-6.508933,"PAPA BLANCA"
2362,-78.144237,-7.348691,"PAPA BLANCA"
2425,-77.738888,-9.172325,"PAPA BLANCA"
2252,-72.599718,-15.840368,"PAPA BLANCA"
2395,-73.329794,-15.241504,"PAPA BLANCA"
2298,-78.144746,-6.777729,"PAPA BLANCA"
2394,-78.365832,-7.778878,"PAPA BLANCA"
2413,-71.509361,-16.46605,"PAPA BLANCA"
2337,-78.648291,-6.575588,"PAPA BLANCA"
